motif_id,cluster_id
MA0124.2,cluster_54
MA0483.1,cluster_55
MA0038.2,cluster_55
MA1542.1,cluster_56
MA1646.1,cluster_56
MA1593.1,cluster_56
MA1629.1,cluster_56
MA1628.1,cluster_56
MA0697.2,cluster_56
MA1730.1,cluster_57
MA1655.1,cluster_57
MA1725.1,cluster_57
MA1969.1,cluster_58
MA0494.1,cluster_58
MA0860.1,cluster_58
MA1576.1,cluster_58
MA0066.1,cluster_59
MA0112.3,cluster_59
MA0258.2,cluster_59
MA0698.1,cluster_6
MA1123.2,cluster_6
MA1638.1,cluster_6
MA1467.2,cluster_6
MA0091.1,cluster_6
MA1109.1,cluster_6
MA1618.1,cluster_6
MA1642.1,cluster_6
MA0668.2,cluster_6
MA1108.2,cluster_6
MA1570.1,cluster_6
MA0607.2,cluster_6
MA0826.1,cluster_6
MA0818.2,cluster_6
MA0678.1,cluster_6
MA0827.1,cluster_6
MA1468.1,cluster_6
MA0461.2,cluster_6
MA0669.1,cluster_6
MA0623.2,cluster_6
MA0817.1,cluster_6
MA1568.1,cluster_6
MA0783.1,cluster_6
MA1571.1,cluster_6
MA1572.1,cluster_6
MA0796.1,cluster_6
MA0797.1,cluster_6
MA1631.1,cluster_6
MA0830.2,cluster_6
MA0499.2,cluster_6
MA0745.2,cluster_6
MA1620.1,cluster_6
MA1621.1,cluster_6
MA0103.3,cluster_6
MA1648.1,cluster_6
MA0522.3,cluster_6
MA0820.1,cluster_6
MA1558.1,cluster_6
MA1559.1,cluster_6
MA0832.1,cluster_6
MA1485.1,cluster_6
MA0100.3,cluster_6
MA0500.2,cluster_6
MA0521.2,cluster_6
MA1619.1,cluster_6
MA1641.1,cluster_6
MA1472.2,cluster_6
MA0691.1,cluster_6
MA0665.1,cluster_6
MA0667.1,cluster_6
MA0048.2,cluster_6
MA1635.1,cluster_6
MA1993.1,cluster_6
MA1997.1,cluster_6
MA0633.2,cluster_6
MA0816.1,cluster_6
MA1100.2,cluster_6
MA0511.2,cluster_60
MA1989.1,cluster_60
MA0002.2,cluster_60
MA0684.2,cluster_60
MA0074.1,cluster_61
MA1533.1,cluster_61
MA0155.1,cluster_62
MA1102.2,cluster_62
MA1615.1,cluster_62
MA1548.1,cluster_62
MA1986.1,cluster_62
MA0088.2,cluster_63
MA1716.1,cluster_63
MA2002.1,cluster_64
MA0092.1,cluster_64
MA1964.1,cluster_64
MA1587.1,cluster_65
MA1596.1,cluster_65
MA1585.1,cluster_66
MA1717.1,cluster_66
MA0506.2,cluster_67
MA0632.2,cluster_67
MA1650.1,cluster_67
MA1720.1,cluster_68
MA0611.2,cluster_68
MA0749.1,cluster_69
MA0527.1,cluster_69
MA0116.1,cluster_7
MA0154.4,cluster_7
MA1604.1,cluster_7
MA1637.1,cluster_7
MA0003.4,cluster_7
MA0814.2,cluster_7
MA0812.1,cluster_7
MA1569.1,cluster_7
MA0813.1,cluster_7
MA0815.1,cluster_7
MA0872.1,cluster_7
MA0810.1,cluster_7
MA0811.1,cluster_7
MA0524.2,cluster_7
MA1718.1,cluster_70
MA1974.1,cluster_70
MA1654.1,cluster_71
MA1977.1,cluster_71
MA1588.1,cluster_72
MA1729.1,cluster_73
MA1710.1,cluster_74
MA1652.1,cluster_74
MA1529.1,cluster_75
MA1721.1,cluster_75
MA1930.1,cluster_76
MA0139.1,cluster_76
MA1929.1,cluster_76
MA1713.1,cluster_77
MA1982.1,cluster_77
MA1723.1,cluster_78
MA1976.1,cluster_78
MA0146.2,cluster_79
MA0866.1,cluster_8
MA0870.1,cluster_8
MA1603.1,cluster_8
MA1561.1,cluster_8
MA1562.1,cluster_8
MA0869.2,cluster_8
MA0442.2,cluster_8
MA0867.2,cluster_8
MA0143.4,cluster_8
MA1120.1,cluster_8
MA0514.2,cluster_8
MA0078.2,cluster_8
MA0087.2,cluster_8
MA1563.2,cluster_8
MA0077.1,cluster_8
MA0515.1,cluster_8
MA1152.1,cluster_8
MA0868.2,cluster_8
MA1972.1,cluster_80
MA0895.1,cluster_81
MA1657.1,cluster_81
MA0163.1,cluster_82
MA1581.1,cluster_83
MA1524.2,cluster_84
MA1651.1,cluster_84
MA0095.3,cluster_84
MA0111.1,cluster_85
MA1728.1,cluster_86
MA0794.1,cluster_87
MA0752.1,cluster_88
MA1154.1,cluster_89
MA1933.1,cluster_9
MA1939.1,cluster_9
MA0687.1,cluster_9
MA1508.1,cluster_9
MA1946.1,cluster_9
MA1947.1,cluster_9
MA1942.1,cluster_9
MA1952.1,cluster_9
MA1935.1,cluster_9
MA1950.1,cluster_9
MA1936.1,cluster_9
MA1956.1,cluster_9
MA1953.1,cluster_9
MA1954.1,cluster_9
MA1955.1,cluster_9
MA0081.2,cluster_9
MA0080.6,cluster_9
MA0136.3,cluster_9
MA0750.2,cluster_9
MA0640.2,cluster_9
MA0598.3,cluster_9
MA1992.1,cluster_9
MA0473.3,cluster_9
MA0761.2,cluster_9
MA0062.3,cluster_9
MA0474.3,cluster_9
MA0686.1,cluster_9
MA1708.1,cluster_9
MA1483.2,cluster_9
MA0641.1,cluster_9
MA0645.1,cluster_9
MA0475.2,cluster_9
MA0098.3,cluster_9
MA0760.1,cluster_9
MA0763.1,cluster_9
MA0764.3,cluster_9
MA0028.2,cluster_9
MA0765.3,cluster_9
MA0156.3,cluster_9
MA0076.2,cluster_9
MA0759.2,cluster_9
MA0762.1,cluster_9
MA1484.1,cluster_9
MA1943.1,cluster_9
MA1949.1,cluster_9
MA1948.1,cluster_9
MA1940.1,cluster_9
MA1944.1,cluster_9
MA1931.1,cluster_9
MA1957.1,cluster_9
MA1958.1,cluster_9
MA1932.1,cluster_9
MA1937.1,cluster_9
MA0149.1,cluster_90
MA1124.1,cluster_90
MA1546.1,cluster_91
MA1656.1,cluster_92
MA1998.1,cluster_93
MA1999.1,cluster_94
MA0108.2,cluster_95
MA1978.1,cluster_95
MA1938.1,cluster_96
MA0151.1,cluster_97
MA1726.1,cluster_98
MA1981.1,cluster_99
